Name,Location,Description,Address,Telephone Number,Price,Cuisine Type,Dining Atmosphere,Sky-High Rooftop,Michelin-Guide,Customer Ratings,Operation Hours,Reservations,Dress Code
Somni,West Hollywood,A 14-seat Spanish Modernist chef's counter offering a 20+ course tasting menu led by Chef Aitor Zabala with one seating per night.,"9045 Nemo St, West Hollywood, CA 90069",Number Not Listed,$$$$$,Spanish Modernist,Fine-Dining,No,3-Star,5,Wed-Sun 7:30pm (one seating),Reservation Only,No
Providence,Hollywood,A celebrated seafood-forward fine dining institution from Chef Michael Cimarusti with nearly 20 years of Michelin recognition and a focus on West Coast ingredients.,"5955 Melrose Ave, Los Angeles, CA 90038",(323) 460-4170,$$$$,Seafood / Contemporary,Fine-Dining,No,3-Star,5,Tue-Thu 6pm-9pm / Fri-Sat 5:30pm-9:30pm,Reservation Only,No
Hayato,Downtown Arts District,A 7-seat intimate kaiseki restaurant from Chef Brandon Go serving traditional Japanese multi-course dinners with handcrafted ceramics imported from Japan.,"1320 E 7th St Suite 126, Los Angeles, CA 90021",(213) 395-0607,$$$$,Japanese Kaiseki,Fine-Dining,No,2-Star,5,Tue-Sat (one seating nightly),Reservation Only,No
n/naka,Palms,A serene 13-course modern kaiseki restaurant from Netflix Chef's Table star Niki Nakayama blending Japanese and Californian cuisine with a strictly enforced business casual dress code.,"3455 Overland Ave, Los Angeles, CA 90034",(310) 836-6252,$$$$,Japanese Kaiseki,Fine-Dining,No,2-Star,5,Wed-Sun 5:30pm-9pm,Reservation Only,Strict
Melisse,Santa Monica,A hidden 14-seat fine dining alcove within sister restaurant Citrin offering a luxurious and frequently changing seasonal tasting menu from Chef Josiah Citrin.,"1104 Wilshire Blvd, Santa Monica, CA 90401",(310) 395-0881,$$$$,French / Contemporary American,Fine-Dining,No,2-Star,4,Tue-Sat (dinner only),Reservation Only,Yes
Vespertine,Culver City,An avant-garde two-Michelin-star dining experience from Chef Jordan Kahn set inside a wavy obelisk architectural marvel with a sci-fi dreamscape atmosphere.,"3599 Hayden Ave, Culver City, CA 90232",(323) 320-4023,$$$$,Contemporary American / Innovative,Fine-Dining,No,2-Star,5,Wed-Sun (one seating nightly),Reservation Only,No
Sushi Kaneyoshi,Little Tokyo,A highly exclusive omakase sushi experience tucked in Little Tokyo offering pristine seasonal fish in an intimate counter setting.,"250 1st St B1, Los Angeles, CA 90012",(213) 277-2388,$$$$,Japanese / Sushi,Fine-Dining,No,1-Star,5,Tue-Sat (dinner seatings),Reservation Only,No
Restaurant Ki,Little Tokyo,A 10-seat subterranean Korean contemporary tasting menu hidden in a hard-to-find backroom offering an intimate and innovative dining experience.,"111 San Pedro St, Los Angeles, CA 90012 ",(213) 786-3154,$$$$,Korean Contemporary,Fine-Dining,No,1-Star,5,Wed-Sun (dinner only),Reservation Only,No
715 Sushi,Downtown Los Angeles,A minimalist omakase sushi counter in the Arts District offering a chef's choice multi-course menu with rustic Japanese interior design.,"738 E 3rd St, Los Angeles, CA 90013",(213) 547-0459,$$$$,Japanese / Sushi,Fine-Dining,No,1-Star,5,Tue-Sat (dinner only),Reservation Only,No
Orsa & Winston,Downtown Los Angeles,An intimate fine dining restaurant offering a creative contemporary tasting menu with Italian and Japanese influences.,"122 W 4th St, Los Angeles, CA 90013",(213) 687-0300,$$$$,Contemporary,Fine-Dining,No,1-Star,4.8,Tue-Sat (dinner only),Reservation Only,No
Camphor,Downtown Los Angeles,A refined French restaurant in the Arts District offering a creative menu inspired by French culinary traditions with global influences.,"923 E 3rd St Suite 109, Los Angeles, CA 90013",(213) 626-8888,$$$$,French,Fine-Dining,No,1-Star,4.7,Tue-Sat (dinner only),Reservation Only,No
Morihiro,Echo Park,A beloved neighborhood sushi restaurant from legendary Chef Morihiro Onodera serving exceptional omakase with house-made tofu and seasonal ingredients.,"1115 W. Sunset Blvd Suite 100 Los Angeles, CA 90012",(213) 737-1588,$$$$,Japanese,Fine-Dining,No,1-Star,5,Tue-Sat (dinner only),Reservation Only,No
Kato,Downtown Los Angeles,A Michelin-starred Taiwanese-Asian fusion tasting menu from Chef Jon Yao served in a relaxed industrial-chic setting with innovative seafood preparations.,"777 S. Alameda St. Building 1, Suite 114 Los Angeles, CA 90021",(213) 797-5770,$$$$,Asian / Taiwanese,Trendy,No,1-Star,4.9,Wed-Sun (dinner only),Reservation Only,No
Holbox,South Los Angeles,A Yucatecan-style seafood counter from Chef Gilberto Cetina Jr. inside Mercado La Paloma offering some of LA's most delicious and affordable Michelin-starred food.,"3655 S Grand Ave, Los Angeles, CA 90007",(213) 986-9972,$$,Mexican / Seafood,Casual,No,1-Star,5,Wed-Sun 11am-8pm,Yes,No
Gwen Butcher Shop & Restaurant,Hollywood,A glamorous Michelin-starred steakhouse and butcher shop from celebrity Chef Curtis Stone featuring a chandelier-lit dining room and premium dry-aged cuts.,"6600 Sunset Blvd, Los Angeles, CA 90028",(323) 946-7500,$$$$,American Steakhouse,Fine-Dining,No,1-Star,3,Tue-Sun (dinner only),Yes,No
